I;L;J;AMUX;AMUN;AMUG;AMUF;E;D_J;Gx;Gn0;Gg;Gf
0.0;1;0.5;0.0;1.0;0.0;0.0;1439.7644875448796;2766.226824204591;0.0;0.0;0.22032859433859295;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1439.7644875448796;2019.187054856771;0.0;4.482043437809365;0.22032859433859295;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1439.7644875448796;1259.4283176525175;0.0;0.0185584611096794;0.13520163743504568;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1439.7644875448796;1577.5133176870502;0.0;0.01968753470597363;0.13520163743504568;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1499.2684327860457;3501.662419935857;0.0;0.24511636939551;0.1352099764977165;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1499.2684327860457;2766.2789510334696;0.0;0.0;0.22034218392220464;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1499.2684327860457;2019.22510445457;0.0;4.482127897517898;0.22034218392220464;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1499.2684327860457;1259.4520503427743;0.0;0.018558810825660046;0.1352099764977165;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1499.2684327860457;1577.5430443768666;0.0;0.01968790569823778;0.1352099764977165;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1561.2316132215046;3501.731131572091;0.0;0.24512117921004636;0.13521866067771934;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1561.2316132215046;2766.3332325518486;0.0;0.0;0.22035633591924633;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1561.2316132215046;2019.2647268522237;0.0;4.482215848412277;0.22035633591924633;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1561.2316132215046;1259.4767640360888;0.0;0.018559174997332083;0.13521866067771934;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1561.2316132215046;1577.5739998348204;0.0;0.019688292025659533;0.13521866067771934;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1625.7556664437934;3501.802683458103;0.0;0.2451261878420672;0.13522770427829178;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1625.7556664437934;2766.389757839682;0.0;0.0;0.2203710736386977;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1625.7556664437934;2019.305987072993;0.0;4.482307434826373;0.2203710736386977;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1625.7556664437934;1259.5024992894446;0.0;0.018559554222327947;0.13522770427829178;0.0
